class,auc,f1_at_0.5,f1_tuned,threshold
NORM,0.8965,0.79303,0.8159,0.33
MI,0.81555,0.56856,0.59455,0.39
STTC,0.87595,0.64114,0.6769,0.29
CD,0.86163,0.65187,0.67505,0.36
HYP,0.76204,0.23055,0.35686,0.23
