epoch,train_loss,train_acc,val_loss,val_acc,lr
1,7.02142,0.03257,7.1132,0.01515,3.00e-04
2,7.06206,0.02275,7.06307,0.0151,3.00e-04
3,7.06762,0.03366,7.09542,0.04149,3.00e-04
4,7.12099,0.03297,7.14505,0.01818,2.99e-04
5,7.15034,0.02235,7.169,0.01345,2.99e-04
6,7.16426,0.01901,7.17531,0.01298,2.98e-04
7,7.16457,0.01591,7.16873,0.01076,2.97e-04
8,7.16305,0.01315,7.15926,0.00907,2.96e-04
9,7.14327,0.00862,7.13306,0.01302,2.95e-04
10,7.10367,0.00856,7.0876,0.00694,2.94e-04
11,7.06275,0.00856,7.05064,0.01033,2.93e-04
12,6.99847,0.01028,6.98314,0.01254,2.91e-04
13,6.92867,0.01258,6.92984,0.00989,2.90e-04
14,6.85923,0.01448,6.8388,0.00781,2.88e-04
15,6.77457,0.01683,6.74347,0.02404,2.86e-04
16,6.68599,0.02102,6.66175,0.02243,2.84e-04
17,6.58822,0.02022,6.53833,0.01853,2.82e-04
18,6.46556,0.0224,6.41638,0.02166,2.79e-04
19,6.35798,0.02344,6.296,0.02196,2.77e-04
20,6.2529,0.0243,6.32462,0.0154,2.74e-04
21,6.15596,0.02407,6.13885,0.02625,2.71e-04
22,6.05226,0.02826,6.04815,0.02239,2.69e-04
23,5.99064,0.02993,6.05845,0.02031,2.66e-04
24,5.9381,0.03211,5.95913,0.03749,2.63e-04
25,5.89624,0.03349,6.00268,0.02456,2.59e-04
26,5.87706,0.03424,5.93597,0.02157,2.56e-04
27,5.85384,0.03171,5.90713,0.02833,2.53e-04
28,5.84568,0.03228,5.90711,0.04044,2.49e-04
29,5.85058,0.0328,5.96216,0.01471,2.46e-04
30,5.88917,0.0274,6.00371,0.01762,2.42e-04
31,5.91929,0.02579,5.97418,0.0194,2.38e-04
32,5.94757,0.02522,6.01078,0.01375,2.35e-04
33,5.97595,0.02281,6.07003,0.0207,2.31e-04
34,6.01276,0.01982,6.08598,0.01723,2.27e-04
35,6.05562,0.01844,6.12751,0.00907,2.23e-04
36,6.1063,0.01643,6.17794,0.01167,2.18e-04
37,6.1533,0.01551,6.22049,0.01631,2.14e-04
38,6.19309,0.01281,6.26827,0.00902,2.10e-04
39,6.231,0.01183,6.27147,0.01042,2.06e-04
40,6.25957,0.01258,6.32054,0.00946,2.01e-04
41,6.29954,0.01028,6.34462,0.01033,1.97e-04
42,6.33418,0.00867,6.36955,0.0069,1.92e-04
43,6.36127,0.0081,6.38435,0.00733,1.88e-04
44,6.36807,0.00821,6.40072,0.01119,1.83e-04
45,6.38095,0.00776,6.39657,0.0095,1.79e-04
46,6.39119,0.00781,6.40885,0.0151,1.74e-04
47,6.39469,0.0077,6.4745,0.0026,1.69e-04
48,6.40026,0.0073,6.43194,0.00864,1.65e-04
49,6.39971,0.00701,6.40279,0.00608,1.60e-04
50,6.39803,0.00718,6.39237,0.00911,1.55e-04
51,6.39638,0.00632,6.43084,0.00564,1.50e-04
52,6.40388,0.00776,6.44039,0.00521,1.46e-04
53,6.4118,0.00804,6.44526,0.00521,1.41e-04
54,6.41491,0.00632,6.41393,0.00694,1.36e-04
55,6.41153,0.00661,6.45725,0.00564,1.32e-04
56,6.42016,0.00718,6.42789,0.00738,1.27e-04
57,6.43346,0.00569,6.44063,0.01384,1.22e-04
58,6.44315,0.00615,6.44875,0.00816,1.18e-04
59,6.45033,0.00661,6.47068,0.00521,1.13e-04
60,6.4575,0.00597,6.43996,0.00651,1.09e-04
61,6.46352,0.00557,6.4478,0.00781,1.04e-04
62,6.45814,0.0058,6.47359,0.00564,9.99e-05
63,6.46965,0.00643,6.46465,0.00608,9.55e-05
64,6.47705,0.00649,6.46064,0.00434,9.11e-05
65,6.48257,0.00597,6.48292,0.00521,8.68e-05
66,6.49399,0.00586,6.51518,0.0026,8.26e-05
67,6.50635,0.005,6.49025,0.00738,7.85e-05
68,6.50227,0.00655,6.50442,0.0026,7.44e-05
69,6.49605,0.00609,6.49294,0.00391,7.04e-05
70,6.49125,0.00569,6.47471,0.00902,6.65e-05
71,6.48374,0.00523,6.46201,0.00694,6.26e-05
72,6.46822,0.00569,6.4509,0.0082,5.89e-05
73,6.46582,0.00574,6.44439,0.00434,5.52e-05
74,6.45674,0.00689,6.45273,0.0026,5.16e-05
75,6.45261,0.00615,6.44506,0.00347,4.82e-05
76,6.44893,0.00563,6.43212,0.00564,4.48e-05
77,6.45148,0.00597,6.43032,0.00738,4.15e-05
78,6.45463,0.00597,6.45299,0.00174,3.84e-05
79,6.44858,0.00557,6.4324,0.00391,3.53e-05
80,6.44207,0.00626,6.4375,0.00174,3.24e-05
81,6.44723,0.00632,6.45614,0.00217,2.96e-05
82,6.4491,0.0058,6.44826,0.00217,2.69e-05
83,6.4466,0.00517,6.41491,0.00347,2.43e-05
84,6.43955,0.0058,6.42344,0.00477,2.18e-05
85,6.44241,0.00661,6.40649,0.00651,1.95e-05
86,6.43587,0.00609,6.44589,0.00304,1.73e-05
87,6.43385,0.00597,6.41742,0.00434,1.52e-05
88,6.42646,0.00609,6.41243,0.00694,1.33e-05
89,6.42162,0.00517,6.42759,0.00304,1.15e-05
90,6.42527,0.00563,6.41712,0.00694,9.84e-06
91,6.42466,0.00626,6.42704,0.00174,8.32e-06
92,6.42482,0.00609,6.41405,0.00777,6.94e-06
93,6.42652,0.00615,6.41439,0.00391,5.70e-06
94,6.43021,0.0058,6.41383,0.00781,4.60e-06
95,6.42881,0.0062,6.41881,0.00599,3.65e-06
96,6.43912,0.00534,6.43762,0.00521,2.84e-06
97,6.44576,0.00574,6.44148,0.00898,2.18e-06
98,6.45574,0.00603,6.47188,0.00391,1.66e-06
99,6.46799,0.00528,6.46674,0.00651,1.30e-06
100,6.47572,0.00574,6.47089,0.00902,1.07e-06
