epoch,train_loss,train_acc,val_loss,val_acc,lr
1,7.13387,0.03096,7.20915,0.00955,3.00e-04
2,7.12803,0.04567,7.07464,0.05294,3.00e-04
3,7.04927,0.049,7.06728,0.03575,3.00e-04
4,7.04116,0.04492,7.07295,0.04057,2.99e-04
5,7.05729,0.04291,7.10624,0.02161,2.99e-04
6,7.07767,0.03791,7.1011,0.02972,2.98e-04
7,7.06834,0.03068,7.07393,0.02118,2.97e-04
8,7.02475,0.02711,7.01735,0.02899,2.96e-04
9,6.94286,0.02648,6.92195,0.02161,2.95e-04
10,6.83922,0.02114,6.80547,0.01345,2.94e-04
11,6.74152,0.01683,6.73809,0.0191,2.93e-04
12,6.66448,0.01901,6.67129,0.0217,2.91e-04
13,6.59236,0.01947,6.60985,0.01259,2.90e-04
14,6.53085,0.0193,6.51867,0.0191,2.88e-04
15,6.48051,0.02091,6.48747,0.02122,2.86e-04
16,6.45516,0.01976,6.49704,0.02122,2.84e-04
17,6.46139,0.01953,6.48272,0.022,2.82e-04
18,6.4543,0.01855,6.46794,0.01905,2.79e-04
19,6.42765,0.01965,6.42936,0.03155,2.77e-04
20,6.37323,0.02045,6.3726,0.01727,2.74e-04
21,6.34119,0.02361,6.36235,0.02856,2.71e-04
22,6.34046,0.02395,6.37984,0.01866,2.69e-04
23,6.33274,0.02292,6.41099,0.02469,2.66e-04
24,6.33911,0.02395,6.40948,0.01736,2.63e-04
25,6.37956,0.01993,6.45413,0.01949,2.59e-04
26,6.39615,0.01919,6.43323,0.02157,2.56e-04
27,6.46351,0.01614,6.50827,0.01732,2.53e-04
28,6.5075,0.01591,6.56331,0.01988,2.49e-04
29,6.56452,0.01442,6.69855,0.00998,2.46e-04
30,6.62915,0.01344,6.68312,0.01341,2.42e-04
31,6.67633,0.01384,6.70381,0.01818,2.38e-04
32,6.70318,0.01488,6.71738,0.01862,2.35e-04
33,6.72478,0.01534,6.73286,0.01302,2.31e-04
34,6.75432,0.0139,6.76407,0.01172,2.27e-04
35,6.77438,0.01517,6.78046,0.01254,2.23e-04
36,6.7809,0.01649,6.83978,0.02118,2.18e-04
37,6.80258,0.01551,6.83558,0.01042,2.14e-04
38,6.82126,0.01471,6.84774,0.00998,2.10e-04
39,6.8259,0.01425,6.85695,0.01432,2.06e-04
40,6.79877,0.0154,6.83706,0.01471,2.01e-04
41,6.78796,0.01465,6.79066,0.01549,1.97e-04
42,6.73489,0.0162,6.76289,0.0194,1.92e-04
43,6.69761,0.01666,6.75048,0.01375,1.88e-04
44,6.68473,0.01683,6.71366,0.03141,1.83e-04
45,6.66247,0.02051,6.64906,0.02413,1.79e-04
46,6.6235,0.02246,6.61757,0.02977,1.74e-04
47,6.56447,0.02459,6.54178,0.02716,1.69e-04
48,6.48897,0.0266,6.47121,0.03068,1.65e-04
49,6.43022,0.03148,6.42258,0.02716,1.60e-04
50,6.36961,0.03142,6.32662,0.03276,1.55e-04
