epoch,bce,kd,crf,feat,att,total,val_auc,best_val_auc
1,0.45801,0.85594,0.0,0.0,0.0,1.31395,0.82034,0.82034
2,0.38218,0.32696,0.0,0.0,0.0,0.70914,0.83446,0.83446
3,0.36967,0.24762,0.0,0.0,0.0,0.61729,0.83532,0.83532
4,0.36229,0.21459,0.0,0.0,0.0,0.57687,0.8403,0.8403
5,0.3593,0.20475,0.0,0.0,0.0,0.56405,0.83741,0.8403
6,0.35394,0.19049,0.0,0.0,0.0,0.54444,0.84211,0.84211
7,0.35206,0.17975,0.0,0.0,0.0,0.53181,0.84358,0.84358
8,0.34763,0.16369,0.0,0.0,0.0,0.51131,0.84424,0.84424
9,0.34359,0.16303,0.0,0.0,0.0,0.50662,0.84595,0.84595
10,0.34355,0.15901,0.0,0.0,0.0,0.50255,0.84653,0.84653
11,0.33949,0.15723,0.0,0.0,0.0,0.49672,0.84575,0.84653
12,0.33766,0.14931,0.0,0.0,0.0,0.48697,0.84519,0.84653
13,0.33665,0.15845,0.0,0.0,0.0,0.4951,0.84798,0.84798
14,0.33442,0.15044,0.0,0.0,0.0,0.48486,0.84583,0.84798
15,0.33267,0.14829,0.0,0.0,0.0,0.48096,0.84519,0.84798
16,0.33192,0.14878,0.0,0.0,0.0,0.48069,0.84759,0.84798
17,0.3301,0.14954,0.0,0.0,0.0,0.47964,0.8455,0.84798
18,0.32713,0.14126,0.0,0.0,0.0,0.46839,0.84733,0.84798
19,0.32518,0.13828,0.0,0.0,0.0,0.46345,0.84799,0.84799
20,0.32136,0.13452,0.0,0.0,0.0,0.45587,0.84711,0.84799
21,0.31986,0.13776,0.0,0.0,0.0,0.45762,0.8502,0.8502
22,0.31535,0.13352,0.0,0.0,0.0,0.44887,0.84709,0.8502
23,0.31344,0.13585,0.0,0.0,0.0,0.4493,0.84754,0.8502
24,0.31096,0.13339,0.0,0.0,0.0,0.44435,0.85027,0.85027
25,0.30892,0.13467,0.0,0.0,0.0,0.44359,0.84712,0.85027
26,0.30745,0.13451,0.0,0.0,0.0,0.44196,0.84794,0.85027
27,0.3024,0.13214,0.0,0.0,0.0,0.43455,0.84846,0.85027
28,0.30376,0.136,0.0,0.0,0.0,0.43976,0.84659,0.85027
29,0.29955,0.13436,0.0,0.0,0.0,0.4339,0.84916,0.85027
30,0.29824,0.13388,0.0,0.0,0.0,0.43212,0.84785,0.85027
31,0.29611,0.13585,0.0,0.0,0.0,0.43196,0.84937,0.85027
32,0.29482,0.13767,0.0,0.0,0.0,0.43249,0.84838,0.85027
33,0.29295,0.13397,0.0,0.0,0.0,0.42692,0.84734,0.85027
34,0.29037,0.13651,0.0,0.0,0.0,0.42688,0.84811,0.85027
35,0.28652,0.13203,0.0,0.0,0.0,0.41854,0.84765,0.85027
36,0.28461,0.13407,0.0,0.0,0.0,0.41868,0.84781,0.85027
37,0.28351,0.13468,0.0,0.0,0.0,0.41819,0.84748,0.85027
38,0.28008,0.13371,0.0,0.0,0.0,0.41379,0.84963,0.85027
39,0.28004,0.13527,0.0,0.0,0.0,0.41532,0.84682,0.85027
40,0.27754,0.13133,0.0,0.0,0.0,0.40887,0.8484,0.85027
41,0.27625,0.13617,0.0,0.0,0.0,0.41242,0.84918,0.85027
42,0.27594,0.1362,0.0,0.0,0.0,0.41214,0.84857,0.85027
43,0.27233,0.13253,0.0,0.0,0.0,0.40487,0.84765,0.85027
44,0.2716,0.13314,0.0,0.0,0.0,0.40475,0.84687,0.85027
45,0.27008,0.13554,0.0,0.0,0.0,0.40562,0.84713,0.85027
46,0.26994,0.13627,0.0,0.0,0.0,0.40621,0.84878,0.85027
47,0.27111,0.13773,0.0,0.0,0.0,0.40884,0.84754,0.85027
48,0.26986,0.13571,0.0,0.0,0.0,0.40557,0.84721,0.85027
49,0.26664,0.13459,0.0,0.0,0.0,0.40124,0.84844,0.85027
50,0.26515,0.13558,0.0,0.0,0.0,0.40073,0.84819,0.85027
51,0.26581,0.137,0.0,0.0,0.0,0.40281,0.8479,0.85027
52,0.26487,0.13407,0.0,0.0,0.0,0.39894,0.84933,0.85027
53,0.2612,0.13276,0.0,0.0,0.0,0.39396,0.84841,0.85027
