epoch,bce,kd,crf,feat,att,total,val_auc,best_val_auc
1,0.45846,0.84815,0.0,0.0,0.0,1.30662,0.82129,0.82129
2,0.38308,0.32411,0.0,0.0,0.0,0.70718,0.83274,0.83274
3,0.37096,0.24731,0.0,0.0,0.0,0.61827,0.83525,0.83525
4,0.36355,0.21096,0.0,0.0,0.0,0.57451,0.8402,0.8402
5,0.36067,0.19975,0.0,0.0,0.0,0.56041,0.84039,0.84039
6,0.35532,0.18841,0.0,0.0,0.0,0.54373,0.84117,0.84117
7,0.35292,0.17608,0.0,0.0,0.0,0.529,0.84365,0.84365
8,0.34956,0.16356,0.0,0.0,0.0,0.51312,0.84338,0.84365
9,0.34521,0.15882,0.0,0.0,0.0,0.50402,0.84601,0.84601
10,0.34476,0.15465,0.0,0.0,0.0,0.49941,0.84709,0.84709
11,0.34102,0.1549,0.0,0.0,0.0,0.49592,0.84536,0.84709
12,0.33915,0.14567,0.0,0.0,0.0,0.48482,0.84518,0.84709
13,0.33834,0.15578,0.0,0.0,0.0,0.49412,0.84828,0.84828
14,0.33621,0.14721,0.0,0.0,0.0,0.48342,0.84487,0.84828
15,0.33399,0.14304,0.0,0.0,0.0,0.47703,0.84546,0.84828
16,0.33309,0.14424,0.0,0.0,0.0,0.47733,0.84784,0.84828
17,0.3318,0.14651,0.0,0.0,0.0,0.4783,0.84587,0.84828
18,0.32823,0.1354,0.0,0.0,0.0,0.46363,0.84749,0.84828
19,0.32658,0.13398,0.0,0.0,0.0,0.46056,0.84863,0.84863
20,0.32312,0.12925,0.0,0.0,0.0,0.45237,0.84766,0.84863
21,0.32091,0.1322,0.0,0.0,0.0,0.45311,0.85044,0.85044
22,0.31663,0.12836,0.0,0.0,0.0,0.44498,0.84684,0.85044
23,0.31475,0.12992,0.0,0.0,0.0,0.44467,0.84786,0.85044
24,0.3125,0.12788,0.0,0.0,0.0,0.44038,0.85085,0.85085
25,0.31054,0.12919,0.0,0.0,0.0,0.43973,0.84758,0.85085
26,0.30856,0.12763,0.0,0.0,0.0,0.43619,0.84814,0.85085
27,0.30324,0.1255,0.0,0.0,0.0,0.42874,0.84887,0.85085
28,0.30449,0.12973,0.0,0.0,0.0,0.43422,0.84709,0.85085
29,0.30107,0.12877,0.0,0.0,0.0,0.42984,0.84897,0.85085
30,0.29938,0.1276,0.0,0.0,0.0,0.42698,0.84827,0.85085
31,0.29727,0.13047,0.0,0.0,0.0,0.42774,0.84893,0.85085
32,0.29568,0.13051,0.0,0.0,0.0,0.42619,0.84923,0.85085
33,0.29333,0.12761,0.0,0.0,0.0,0.42094,0.84771,0.85085
34,0.29116,0.13054,0.0,0.0,0.0,0.4217,0.8481,0.85085
35,0.28776,0.12509,0.0,0.0,0.0,0.41285,0.84758,0.85085
36,0.28591,0.12742,0.0,0.0,0.0,0.41333,0.84743,0.85085
37,0.28524,0.12798,0.0,0.0,0.0,0.41322,0.84738,0.85085
38,0.28213,0.12758,0.0,0.0,0.0,0.40971,0.85021,0.85085
39,0.28162,0.12852,0.0,0.0,0.0,0.41014,0.84688,0.85085
40,0.27867,0.12426,0.0,0.0,0.0,0.40292,0.84861,0.85085
41,0.27766,0.12942,0.0,0.0,0.0,0.40708,0.84906,0.85085
42,0.27724,0.12875,0.0,0.0,0.0,0.40599,0.84896,0.85085
43,0.2737,0.12556,0.0,0.0,0.0,0.39926,0.8481,0.85085
44,0.27323,0.12611,0.0,0.0,0.0,0.39935,0.84838,0.85085
45,0.27144,0.12826,0.0,0.0,0.0,0.3997,0.84798,0.85085
46,0.27156,0.12857,0.0,0.0,0.0,0.40013,0.84919,0.85085
47,0.27251,0.13021,0.0,0.0,0.0,0.40271,0.84757,0.85085
48,0.27117,0.1283,0.0,0.0,0.0,0.39946,0.84904,0.85085
49,0.26801,0.12714,0.0,0.0,0.0,0.39515,0.84883,0.85085
50,0.26665,0.12798,0.0,0.0,0.0,0.39463,0.84839,0.85085
51,0.2674,0.12949,0.0,0.0,0.0,0.3969,0.84824,0.85085
52,0.26635,0.12675,0.0,0.0,0.0,0.3931,0.84973,0.85085
53,0.26303,0.12559,0.0,0.0,0.0,0.38862,0.8485,0.85085
54,0.26404,0.12699,0.0,0.0,0.0,0.39103,0.84846,0.85085
55,0.26404,0.12668,0.0,0.0,0.0,0.39072,0.84863,0.85085
56,0.26332,0.12832,0.0,0.0,0.0,0.39164,0.84985,0.85085
57,0.26339,0.12828,0.0,0.0,0.0,0.39167,0.84858,0.85085
58,0.26321,0.12878,0.0,0.0,0.0,0.39199,0.84898,0.85085
59,0.26092,0.12679,0.0,0.0,0.0,0.38771,0.84879,0.85085
60,0.26185,0.12886,0.0,0.0,0.0,0.39071,0.84926,0.85085
61,0.26082,0.1276,0.0,0.0,0.0,0.38842,0.84922,0.85085
62,0.26044,0.12765,0.0,0.0,0.0,0.38809,0.84877,0.85085
63,0.25991,0.12697,0.0,0.0,0.0,0.38688,0.84884,0.85085
64,0.25963,0.12612,0.0,0.0,0.0,0.38576,0.84939,0.85085
65,0.25988,0.12811,0.0,0.0,0.0,0.38798,0.8482,0.85085
66,0.25906,0.12696,0.0,0.0,0.0,0.38602,0.84884,0.85085
67,0.25888,0.12731,0.0,0.0,0.0,0.38619,0.84875,0.85085
68,0.25865,0.12595,0.0,0.0,0.0,0.3846,0.84882,0.85085
69,0.25823,0.12444,0.0,0.0,0.0,0.38267,0.84982,0.85085
70,0.2577,0.12754,0.0,0.0,0.0,0.38523,0.84863,0.85085
71,0.25784,0.12662,0.0,0.0,0.0,0.38446,0.8487,0.85085
72,0.25692,0.1258,0.0,0.0,0.0,0.38272,0.84912,0.85085
73,0.25737,0.12537,0.0,0.0,0.0,0.38273,0.84899,0.85085
74,0.25694,0.12558,0.0,0.0,0.0,0.38253,0.84909,0.85085
75,0.25762,0.12815,0.0,0.0,0.0,0.38577,0.84875,0.85085
76,0.25705,0.12628,0.0,0.0,0.0,0.38333,0.84917,0.85085
77,0.25679,0.12592,0.0,0.0,0.0,0.38271,0.84919,0.85085
78,0.25655,0.12591,0.0,0.0,0.0,0.38246,0.84938,0.85085
79,0.25644,0.12592,0.0,0.0,0.0,0.38235,0.84888,0.85085
80,0.25654,0.12542,0.0,0.0,0.0,0.38196,0.8492,0.85085
81,0.2563,0.12438,0.0,0.0,0.0,0.38068,0.84928,0.85085
82,0.25587,0.12529,0.0,0.0,0.0,0.38116,0.84896,0.85085
83,0.25637,0.12547,0.0,0.0,0.0,0.38184,0.84917,0.85085
84,0.25546,0.12473,0.0,0.0,0.0,0.38019,0.84902,0.85085
85,0.25609,0.12353,0.0,0.0,0.0,0.37962,0.84885,0.85085
86,0.25546,0.12582,0.0,0.0,0.0,0.38128,0.8493,0.85085
87,0.25521,0.12568,0.0,0.0,0.0,0.38089,0.84928,0.85085
88,0.25478,0.12391,0.0,0.0,0.0,0.37869,0.84907,0.85085
89,0.25563,0.1253,0.0,0.0,0.0,0.38093,0.84918,0.85085
90,0.25605,0.12478,0.0,0.0,0.0,0.38083,0.84922,0.85085
91,0.25537,0.12419,0.0,0.0,0.0,0.37956,0.84931,0.85085
92,0.25491,0.12457,0.0,0.0,0.0,0.37948,0.84917,0.85085
93,0.25544,0.12431,0.0,0.0,0.0,0.37975,0.84913,0.85085
94,0.25457,0.1244,0.0,0.0,0.0,0.37897,0.8492,0.85085
95,0.25533,0.12469,0.0,0.0,0.0,0.38002,0.8491,0.85085
96,0.25496,0.12433,0.0,0.0,0.0,0.37929,0.84916,0.85085
97,0.25476,0.12378,0.0,0.0,0.0,0.37854,0.84914,0.85085
98,0.25537,0.12398,0.0,0.0,0.0,0.37936,0.8491,0.85085
99,0.25452,0.12388,0.0,0.0,0.0,0.3784,0.84912,0.85085
100,0.25489,0.12402,0.0,0.0,0.0,0.37891,0.84912,0.85085
