epoch,bce,kd,crf,feat,att,total,val_auc,best_val_auc
72,0.25441,0.13492,0.0,0.0,0.0,0.38933,0.84812,0.84979
73,0.2549,0.13449,0.0,0.0,0.0,0.38939,0.84799,0.84979
74,0.25469,0.13448,0.0,0.0,0.0,0.38917,0.84787,0.84979
75,0.25504,0.13738,0.0,0.0,0.0,0.39241,0.84771,0.84979
76,0.25467,0.13534,0.0,0.0,0.0,0.39001,0.84825,0.84979
77,0.25435,0.13499,0.0,0.0,0.0,0.38935,0.848,0.84979
78,0.25414,0.13488,0.0,0.0,0.0,0.38902,0.8479,0.84979
79,0.25404,0.135,0.0,0.0,0.0,0.38904,0.84759,0.84979
80,0.25406,0.13464,0.0,0.0,0.0,0.38871,0.84833,0.84979
81,0.25379,0.13349,0.0,0.0,0.0,0.38728,0.84826,0.84979
82,0.2535,0.13427,0.0,0.0,0.0,0.38777,0.84777,0.84979
83,0.25384,0.13464,0.0,0.0,0.0,0.38848,0.84799,0.84979
84,0.25305,0.1338,0.0,0.0,0.0,0.38684,0.84795,0.84979
85,0.25363,0.13255,0.0,0.0,0.0,0.38618,0.84789,0.84979
86,0.25297,0.13508,0.0,0.0,0.0,0.38805,0.84825,0.84979
87,0.25289,0.13472,0.0,0.0,0.0,0.38761,0.8482,0.84979
88,0.25226,0.13311,0.0,0.0,0.0,0.38536,0.84794,0.84979
89,0.25312,0.13447,0.0,0.0,0.0,0.38759,0.84808,0.84979
90,0.25352,0.134,0.0,0.0,0.0,0.38752,0.84791,0.84979
91,0.25284,0.13325,0.0,0.0,0.0,0.38608,0.84812,0.84979
92,0.25247,0.13361,0.0,0.0,0.0,0.38608,0.84796,0.84979
93,0.25291,0.13358,0.0,0.0,0.0,0.38649,0.848,0.84979
94,0.25213,0.1335,0.0,0.0,0.0,0.38562,0.84809,0.84979
95,0.25278,0.134,0.0,0.0,0.0,0.38678,0.84799,0.84979
96,0.2524,0.13351,0.0,0.0,0.0,0.3859,0.84803,0.84979
97,0.25229,0.13284,0.0,0.0,0.0,0.38513,0.84799,0.84979
98,0.25291,0.13311,0.0,0.0,0.0,0.38602,0.84802,0.84979
99,0.25203,0.13301,0.0,0.0,0.0,0.38504,0.84797,0.84979
100,0.25239,0.13316,0.0,0.0,0.0,0.38555,0.84797,0.84979
